,comments,CleanedText
4613,Good item to buy,Good item to buy
4614,"As per the brand's name and price,the quality doesn't stand upto expectations.","As per the brand's name and price,the quality doesn't stand upto expectations."
4615,Nice product,Nice product
4616,Not very satisfied i think this is not original american tourister bag,Not very satisfied i think this is not original american tourister bag
4617,Superb,Superb
4618,Verry poor quality 😑,Verry poor quality 😑
4619,Worth the money.,Worth the money.
4620,"Its been only 2 months and bag is ripped from bottom, bad quality. It must be duplicate product.","Its been only 2 months and bag is ripped from bottom, bad quality. It must be duplicate product."
4621,Nice Product.... Quality is also good.... Zip quality would hv been better..... Otherwise excellent product....,Nice Product. Quality is also good. Zip quality would hv been better. Otherwise excellent product.
4622,Stitching is not good,Stitching is not good
4623,Most stylish and good to purchase,Most stylish and good to purchase
4624,very very poor quality,very very poor quality
4625,I want a bag same price (959) ....sir plz provide me .... Nice bag ..,I want a bag same price (959) . sir plz provide me . Nice bag .
4626,Very beautiful product..paisa basul,Very beautiful product. paisa basul
4627,"Great product , good quality .I loved it","Great product , good quality . I loved it"
4628,"Product is damaged within 1 month, don't showing the quality of American Tourister","Product is damaged within 1 month, don't showing the quality of American Tourister"
4629,Awesome product,Awesome product
4630,Excellent 👍,Excellent 👍
4631,Duplicate American tourister,Duplicate American tourister
4632,Not good as i expected from brand. The quality is not too good. Its zeep is so chips. Waste of money.,Not good as i expected from brand. The quality is not too good. Its zeep is so chips. Waste of money.
4633,Nice product,Nice product
4634,I like itNice product,I like itNice product
4635,Nice product,Nice product
4636,Just beautiful,Just beautiful
4637,Good bag buy it,Good bag buy it
4638,Nice bag,Nice bag
4639,"Amazing product ,Nice","Amazing product ,Nice"
4640,Ok product..,Ok product.
4641,Awesome one.,Awesome one.
4642,It looks like genuine product comes with international warranty but it doesn't look strong as we use to expect from American Tourister.,It looks like genuine product comes with international warranty but it doesn't look strong as we use to expect from American Tourister.
4643,Nice product,Nice product
4644,Water resistanceLight weight,Water resistanceLight weight
4645,Poor quality,Poor quality
4646,Good product,Good product
4647,Best product,Best product
4648,Really too good..,Really too good.
4649,Value for money,Value for money
4650,Fake product in the name of AMERICAN TOURISTER,Fake product in the name of AMERICAN TOURISTER
4651,Good Product,Good Product
4652,Simply super.....,Simply super.
4653,Light weight. value of money,Light weight. value of money
4654,light weight,light weight
4655,Lovely bag,Lovely bag
4656,Very good at this price.,Very good at this price.
4657,Good product,Good product
4658,Nice one...,Nice one.
4659,Quality as expected,Quality as expected
4660,Nice bag for college purpose,Nice bag for college purpose
4661,Verry good,Verry good
4662,Quality of Fabric is low,Quality of Fabric is low
4663,"Best bag for travelling,its light weighted, water resistance...","Best bag for travelling,its light weighted, water resistance."
4664,Good product,Good product
4665,Like but not quality material its an deterotion of brand,Like but not quality material its an deterotion of brand
4666,Good Deal,Good Deal
4667,Awesome product with lots of space,Awesome product with lots of space
4668,"It's just been 2 months that I've purchased this bag, and it's already torn as you can see in this picture. My sister used it for her school, so wasn't used roughly either. I would say don't go for it.","It's just been 2 months that I've purchased this bag, and it's already torn as you can see in this picture. My sister used it for her school, so wasn't used roughly either. I would say don't go for it."
4669,Good product and good service,Good product and good service
4670,Bag looks ok in photos but actually it is very poor quality product. Delivered in one day but totally upset with product from such a brand name.,Bag looks ok in photos but actually it is very poor quality product. Delivered in one day but totally upset with product from such a brand name.
4671,Good product,Good product
4672,Excellent product.,Excellent product.
4673,very bad bag febrications its not food colour fet problem a few days bag colour  is fet,very bad bag febrications its not food colour fet problem a few days bag colour  is fet
4674,Very nice,Very nice
4675,Low Quality bag bakwas wasteg money,Low Quality bag bakwas wasteg money
4676,good product,good product
4677,Nice bag........ better than anybag,Nice bag. better than anybag
4678,Good product,Good product
4679,it is good but not for school enough,it is good but not for school enough
4680,Nice bag...,Nice bag.
4681,Super bag...,Super bag.
4682,Good quality,Good quality
4683,Good for travelling,Good for travelling
4684,Good quality,Good quality
4685,Nice product,Nice product
4686,"One of the finest product available. Very durable and nice quality. Has more than enough place for all your storage while travelling. It is bigger than what it looks on the photo and video. Please do not hesitate to buy, in this range it’s one of the Best Buy.","One of the finest product available. Very durable and nice quality. Has more than enough place for all your storage while travelling. It is bigger than what it looks on the photo and video. Please do not hesitate to buy, in this range it’s one of the Best Buy."
